,0
2234,162236
2235,1440904
2236,358404
2237,557884
2238,189394
2239,1600504
2240,137056
2241,1388146
2242,1248984
2243,189350
2244,130653
2245,1157385
2246,86848
2247,234465
2248,729024
2249,1878569
2250,714106
2251,189567
2252,800564
2253,164771
2254,156486
2255,128237
2256,299789
2257,1862006
2258,1464487
2259,1385608
2260,1519944
2261,191070
2262,68091
2263,1626484
2264,117670
2265,182514
2266,134848
2267,1500284
2268,144813
2269,201732
2270,1327509
2271,174848
2272,484684
2273,67017
2274,190963
2275,240222
2276,1372424
2277,1416164
2278,51792
2279,436204
2280,527131
2281,513324
2282,559526
2283,180951
2284,164508
2285,81960
2286,1582564
2287,1864224
2288,1240064
2289,118012
2290,139593
2291,445324
2292,142057
2293,140681
2294,1429927
2295,145000
2296,242557
2297,131000
2298,148053
2299,659704
2300,1441864
2301,143292
2302,1445064
2303,1882824
2304,1488164
2305,95867
2306,603226
2307,1723444
2308,1263084
2309,597964
2310,215456
2311,1166644
2312,1758568
2313,1653584
2314,1280044
2315,1367684
2316,129375
2317,1286684
2318,81769
2319,153649
2320,182843
2321,820926
2322,1718104
2323,216714
2324,174649
2325,1776104
2326,89640
2327,235864
2328,242907
2329,1018744
2330,148238
2331,147067
2332,982004
2333,616404
2334,1457108
2335,1319368
2336,37224
2337,1448884
2338,259348
2339,753944
2340,190562
2341,71591
2342,1144544
2343,497204
2344,632824
2345,229244
2346,128826
2347,1784004
2348,774604
2349,113174
2350,1721464
2351,576224
2352,1241864
2353,708204
2354,1626004
2355,1595444
2356,1349904
2357,154369
2358,1330724
2359,631704
2360,207450
2361,725064
2362,156739
2363,1636304
2364,841884
2365,142155
2366,254656
2367,614464
2368,10694
2369,1061764
2370,38020
2371,222582
2372,132976
2373,1601745
2374,1131786
2375,435030
2376,89293
2377,1533284
2378,251037
2379,79760
2380,494626
2381,187736
2382,135379
2383,192628
2384,546744
2385,1563027
2386,149575
2387,159819
2388,1170844
2389,82461
2390,186534
2391,770205
2392,1567944
2393,1345524
2394,788684
2395,743384
2396,201354
2397,74413
2398,149364
2399,406804
2400,676864
2401,174932
